=== Run information ===

Evaluator:    weka.attributeSelection.ChiSquaredAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     reviews
Instances:    40000
Attributes:   16371
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 16371 class):
	Chi-squared Ranking Filter

Ranked attributes:
2355.75843       6095 a6094: great
1343.06916       5921 a5920: god
1216.14416        373 a372: amaz
1168.06024       8358 a8357: love
1111.49184       9060 a9059: minut
1086.33448      16117 a16116: worst
1058.54286      12134 a12133: rude
1034.7513        3735 a3734: delici
 962.07912       6753 a6752: horibl
 886.24767       8563 a8562: manag
 868.68588       1247 a1246: best
 868.6231        5523 a5522: friendli
 784.99209      13571 a13570: star
 784.10348        705 a704: ask
 742.91342        849 a848: awesom
 706.71124      15794 a15793: wast
 706.16031      11040 a11039: preti
 694.62854      14434 a14433: teribl
 688.74174       9207 a9206: money
 647.25279       3663 a3662: decent
 645.95286      10480 a10479: perfect
 641.54186      10868 a10867: por
 631.95705       2409 a2408: charg
 613.89398        912 a911: bad
 613.62565       3705 a3704: definit
 610.87035       4819 a4818: excel
 575.97769       6594 a6593: highli
 527.67156       1356 a1355: bit
 479.23529       9969 a9968: order
 476.90541      11579 a11578: recomend
 474.74171       2036 a2035: cale
 462.93508       9573 a9572: nice
 459.88213      10381 a10380: pay
 457.59196      15724 a15723: wait
 444.42241       5027 a5026: favorit
 443.25086       9018 a9017: min
 441.72063       3910 a3909: didnt
 433.04731       3489 a3488: custom
 432.20955        824 a823: averag
 424.20269      15793 a15792: wasnt
 420.06061       8229 a8228: litl
 411.73752       8055 a8054: left
 389.79539       4169 a4168: dont
 388.35563      10064 a10063: over
 384.23916       1390 a1389: bland
 372.91362       9878 a9877: okay
 369.60447      14483 a14482: thank
 365.93176       8165 a8164: like
 357.5753        4024 a4023: disgust
 349.54631       4984 a4983: fantast
