=== Run information ===

Evaluator:    weka.attributeSelection.InfoGainAttributeEval 
Search:       weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1
Relation:     reviews
Instances:    40000
Attributes:   16374
              [list of attributes omitted]
Evaluation mode:    evaluate on all training data



=== Attribute Selection on all input data ===

Search Method:
	Attribute ranking.

Attribute Evaluator (supervised, Class (nominal): 16374 class):
	Information Gain Ranking Filter

Ranked attributes:
 0.048627       6095 a6094: great
 0.026511        373 a372: amaz
 0.024841       8358 a8357: love
 0.024619       5921 a5920: god
 0.023366       3735 a3734: delici
 0.018723       5523 a5522: friendli
 0.018229       9060 a9059: minut
 0.017841      16119 a16118: worst
 0.017658       1247 a1246: best
 0.017341      12134 a12133: rude
 0.015914       6753 a6752: horibl
 0.01588       14713 a14712: told
 0.015859        849 a848: awesom
 0.014269      10480 a10479: perfect
 0.014124       8563 a8562: manag
 0.013437      13572 a13571: star
 0.013294       4819 a4818: excel
 0.012922       3705 a3704: definit
 0.012149       6594 a6593: highli
 0.011663      14435 a14434: teribl
 0.011173      11040 a11039: preti
 0.011135      15796 a15795: wast
 0.011017      12219 a12218: said
 0.010959        912 a911: bad
 0.01086        9207 a9206: money
 0.010463       2409 a2408: charg
 0.010448      10868 a10867: por
 0.010377        705 a704: ask
 0.009543       5027 a5026: favorit
 0.009321       3663 a3662: decent
 0.009149      11579 a11578: recomend
 0.009058       1356 a1355: bit
 0.008941       9573 a9572: nice
 0.008406       9969 a9968: order
 0.007926      10381 a10380: pay
 0.007914       3910 a3909: didnt
 0.007801       8229 a8228: litl
 0.007801       4984 a4983: fantast
 0.007662      15726 a15725: wait
 0.007533       2036 a2035: cale
 0.007375      14484 a14483: thank
 0.007233       9018 a9017: min
 0.007198       1390 a1389: bland
 0.007163       3489 a3488: custom
 0.007108      14307 a14306: tasti
 0.007039      15795 a15794: wasnt
 0.006868       4169 a4168: dont
 0.006721       8055 a8054: left
 0.00661        5497 a5496: fresh
 0.006565       1131 a1130: beauti
